shifts,pred_label,probs,probs_top,IsTop5,label
-5000,right,0.5699012875556946,0.5699012875556946,True,right
-4901,right,0.7426916360855103,0.7426916360855103,True,right
-4802,right,0.8099305629730225,0.8099305629730225,True,right
-4703,right,0.8640547394752502,0.8640547394752502,True,right
-4604,right,0.6007087230682373,0.6007087230682373,True,right
-4505,right,0.46226611733436584,0.46226611733436584,True,right
-4406,right,0.6779924631118774,0.6779924631118774,True,right
-4307,right,0.5255079865455627,0.5255079865455627,True,right
-4208,right,0.7023916244506836,0.7023916244506836,True,right
-4109,right,0.41978123784065247,0.41978123784065247,True,right
-4010,right,0.6131816506385803,0.6131816506385803,True,right
-3911,right,0.4138287305831909,0.4138287305831909,True,right
-3812,right,0.46622633934020996,0.46622633934020996,True,right
-3713,right,0.47100040316581726,0.47100040316581726,True,right
-3614,right,0.6673223376274109,0.6673223376274109,True,right
-3515,right,0.7275111675262451,0.7275111675262451,True,right
-3416,right,0.7223464250564575,0.7223464250564575,True,right
-3317,right,0.833071768283844,0.833071768283844,True,right
-3218,right,0.5549575090408325,0.5549575090408325,True,right
-3119,right,0.6477430462837219,0.6477430462837219,True,right
-3020,right,0.7874350547790527,0.7874350547790527,True,right
-2921,right,0.5891861915588379,0.5891861915588379,True,right
-2822,right,0.7252315282821655,0.7252315282821655,True,right
-2723,right,0.7697914242744446,0.7697914242744446,True,right
-2624,right,0.7816841006278992,0.7816841006278992,True,right
-2525,right,0.7001462578773499,0.7001462578773499,True,right
-2426,right,0.8183635473251343,0.8183635473251343,True,right
-2327,right,0.8095678091049194,0.8095678091049194,True,right
-2228,right,0.6784844994544983,0.6784844994544983,True,right
-2129,right,0.7777723670005798,0.7777723670005798,True,right
-2030,right,0.6465386748313904,0.6465386748313904,True,right
-1931,right,0.6600067615509033,0.6600067615509033,True,right
-1832,right,0.8589240312576294,0.8589240312576294,True,right
-1733,right,0.7022787928581238,0.7022787928581238,True,right
-1634,right,0.9077326655387878,0.9077326655387878,True,right
-1535,right,0.831766664981842,0.831766664981842,True,right
-1436,right,0.8151006102561951,0.8151006102561951,True,right
-1337,right,0.6729090809822083,0.6729090809822083,True,right
-1238,right,0.6158172488212585,0.6158172488212585,True,right
-1139,right,0.5463986992835999,0.5463986992835999,True,right
-1040,right,0.6941405534744263,0.6941405534744263,True,right
-941,right,0.5013757944107056,0.5013757944107056,True,right
-842,right,0.6161679029464722,0.6161679029464722,True,right
-743,right,0.6484683752059937,0.6484683752059937,True,right
-644,nine,0.43031302094459534,0.43418917059898376,True,right
-545,right,0.8022545576095581,0.8022545576095581,True,right
-446,right,0.4859119951725006,0.4859119951725006,True,right
-347,right,0.5326595902442932,0.5326595902442932,True,right
-248,right,0.615234375,0.615234375,True,right
-149,right,0.5673650503158569,0.5673650503158569,True,right
-50,right,0.6617494821548462,0.6617494821548462,True,right
49,right,0.7154887914657593,0.7154887914657593,True,right
148,right,0.644209623336792,0.644209623336792,True,right
247,right,0.3620733320713043,0.3620733320713043,True,right
346,right,0.7110433578491211,0.7110433578491211,True,right
445,right,0.5321222543716431,0.5321222543716431,True,right
544,right,0.862511932849884,0.862511932849884,True,right
643,right,0.8176330924034119,0.8176330924034119,True,right
742,right,0.8143824934959412,0.8143824934959412,True,right
841,right,0.7738362550735474,0.7738362550735474,True,right
940,right,0.6138741970062256,0.6138741970062256,True,right
1039,right,0.8741939663887024,0.8741939663887024,True,right
1138,right,0.8856111764907837,0.8856111764907837,True,right
1237,right,0.7321504354476929,0.7321504354476929,True,right
1336,right,0.6254258155822754,0.6254258155822754,True,right
1435,right,0.6103095412254333,0.6103095412254333,True,right
1534,right,0.5022991299629211,0.5022991299629211,True,right
1633,right,0.29622119665145874,0.29622119665145874,True,right
1732,right,0.5884803533554077,0.5884803533554077,True,right
1831,right,0.6217894554138184,0.6217894554138184,True,right
1930,right,0.6486928462982178,0.6486928462982178,True,right
2029,right,0.5234701633453369,0.5234701633453369,True,right
2128,right,0.5484391450881958,0.5484391450881958,True,right
2227,right,0.6719862818717957,0.6719862818717957,True,right
2326,right,0.5189811587333679,0.5189811587333679,True,right
2425,right,0.43518882989883423,0.43518882989883423,True,right
2524,right,0.41523799300193787,0.41523799300193787,True,right
2623,nine,0.17753823101520538,0.49300140142440796,True,right
2722,right,0.5387767553329468,0.5387767553329468,True,right
2821,right,0.6115159392356873,0.6115159392356873,True,right
2920,right,0.8964398503303528,0.8964398503303528,True,right
3019,right,0.7794307470321655,0.7794307470321655,True,right
3118,right,0.843376636505127,0.843376636505127,True,right
3217,right,0.5310087203979492,0.5310087203979492,True,right
3316,right,0.4456169009208679,0.4456169009208679,True,right
3415,right,0.7191993594169617,0.7191993594169617,True,right
3514,right,0.6719269752502441,0.6719269752502441,True,right
3613,right,0.6952757835388184,0.6952757835388184,True,right
3712,right,0.6418324112892151,0.6418324112892151,True,right
3811,right,0.47017553448677063,0.47017553448677063,True,right
3910,right,0.7432168126106262,0.7432168126106262,True,right
4009,right,0.43609747290611267,0.43609747290611267,True,right
4108,right,0.4991653561592102,0.4991653561592102,True,right
4207,right,0.7372898459434509,0.7372898459434509,True,right
4306,right,0.6775385737419128,0.6775385737419128,True,right
4405,right,0.7155945897102356,0.7155945897102356,True,right
4504,right,0.7367826700210571,0.7367826700210571,True,right
4603,right,0.46520912647247314,0.46520912647247314,True,right
4702,right,0.4218297004699707,0.4218297004699707,True,right
4801,right,0.7502720355987549,0.7502720355987549,True,right
4900,right,0.6313520669937134,0.6313520669937134,True,right
4999,right,0.7940964102745056,0.7940964102745056,True,right
-5000,three,0.370701402425766,0.5115293860435486,True,right
-4901,right,0.40206971764564514,0.40206971764564514,True,right
-4802,three,0.2610050439834595,0.6514567732810974,True,right
-4703,right,0.5846215486526489,0.5846215486526489,True,right
-4604,right,0.7740257382392883,0.7740257382392883,True,right
-4505,right,0.7707070112228394,0.7707070112228394,True,right
-4406,right,0.48947805166244507,0.48947805166244507,True,right
-4307,right,0.5540481209754944,0.5540481209754944,True,right
-4208,right,0.5611329078674316,0.5611329078674316,True,right
-4109,right,0.7013875246047974,0.7013875246047974,True,right
-4010,right,0.6430288553237915,0.6430288553237915,True,right
-3911,right,0.4058486819267273,0.4058486819267273,True,right
-3812,right,0.7437876462936401,0.7437876462936401,True,right
-3713,three,0.39570632576942444,0.47767403721809387,True,right
-3614,right,0.800062358379364,0.800062358379364,True,right
-3515,right,0.8482006788253784,0.8482006788253784,True,right
-3416,right,0.7616704106330872,0.7616704106330872,True,right
-3317,right,0.8042789697647095,0.8042789697647095,True,right
-3218,three,0.11880702525377274,0.8454873561859131,True,right
-3119,right,0.511911153793335,0.511911153793335,True,right
-3020,right,0.7699653506278992,0.7699653506278992,True,right
-2921,right,0.5837799906730652,0.5837799906730652,True,right
-2822,right,0.5630239844322205,0.5630239844322205,True,right
-2723,right,0.8104668259620667,0.8104668259620667,True,right
-2624,right,0.7877976298332214,0.7877976298332214,True,right
-2525,right,0.5856940746307373,0.5856940746307373,True,right
